region,annual_rainfall_mm,seasonal_rainfall_mm,cloud_visibility_km,humidity_percent,temperature_c,days_continuous_rainfall,river_discharge_cumecs,flood_occurred
Kolkata,2061.1,1574.0,6.51,73.4,23.1,6.3,4319.7,1
Surat,1069.9,880.8,6.5,73.8,36.1,1.0,1869.7,0
Guwahati,2007.7,1050.3,6.76,62.4,27.8,1.7,2548.6,0
Guwahati,953.8,642.5,7.47,56.8,32.7,1.0,1506.3,0
Kolkata,1992.6,1494.9,4.81,64.4,26.0,8.1,4417.7,1
Guwahati,1482.4,736.0,6.02,62.2,22.6,0.0,1783.5,0
Kolkata,2714.3,1404.6,5.85,64.6,23.7,4.2,4231.6,1
Patna,2010.4,1478.2,5.86,58.0,27.7,5.3,4165.1,1
Kurnool,2603.3,2189.1,4.66,66.1,31.1,10.3,6614.3,1
Kochi,1308.8,977.9,7.9,70.0,29.1,7.4,3271.1,0
Bhubaneswar,1836.5,856.3,7.77,70.4,28.0,2.3,3470.2,0
Surat,1162.3,1030.6,6.88,73.9,33.5,4.8,3233.6,0
Lucknow,1531.2,785.1,6.72,63.5,29.0,2.7,2320.6,0
Bhubaneswar,1629.6,903.9,8.42,57.2,30.1,3.1,3759.2,0
Surat,1328.2,1180.4,6.71,63.1,41.4,4.8,2772.2,0
Bhubaneswar,1009.9,804.9,7.2,53.3,29.0,0.0,2027.7,0
Kolkata,881.2,767.9,7.56,52.8,26.2,2.7,1838.7,0
Surat,300.0,243.9,8.14,58.7,30.9,1.8,717.9,0
Guwahati,1113.4,827.5,7.04,65.7,31.9,1.3,1616.2,0
Surat,2207.9,1276.3,5.99,78.3,30.2,5.5,4008.6,1
Varanasi,761.0,454.4,8.15,58.6,29.6,0.0,1086.3,0
Patna,910.7,798.0,8.41,54.1,34.9,3.1,2504.0,0
Kolkata,2964.1,2481.8,4.33,76.7,34.4,11.7,7025.1,1
Chennai,1386.3,848.1,9.28,61.0,28.5,2.6,2828.2,0
Bhubaneswar,2008.7,1241.3,8.02,63.3,26.4,2.5,3504.9,0
Kochi,2217.5,1294.9,8.72,68.8,30.7,1.8,3837.4,0
Kolkata,2230.6,1331.2,7.1,59.8,26.4,5.6,4512.3,1
Kurnool,810.5,678.6,8.56,61.9,32.5,4.3,2038.6,0
Patna,1649.8,750.2,7.26,65.7,30.7,2.6,2656.4,0
Surat,748.2,483.5,9.31,67.9,39.7,0.8,1660.3,0
Surat,3390.1,2963.9,2.07,83.7,34.9,6.9,6901.6,1
Surat,763.3,529.9,6.68,66.1,24.7,2.2,1409.4,0
Guwahati,1118.9,730.3,9.53,59.0,26.9,1.3,2053.9,0
Patna,1123.6,663.6,6.62,59.2,21.3,1.1,1962.2,0
Kurnool,827.2,399.7,9.08,66.7,20.4,4.7,2653.4,0
Chennai,2679.2,1476.3,5.19,60.1,29.5,1.7,3204.7,1
Kochi,3374.6,1655.9,6.99,67.6,24.2,2.7,3146.2,1
Chennai,1490.8,755.8,9.18,68.6,35.6,3.2,2542.2,0
Chennai,941.7,493.1,8.97,58.2,33.6,1.0,1306.7,0
Lucknow,346.0,202.7,10.0,55.1,27.9,0.0,1109.1,0
Chennai,1641.3,746.7,7.82,60.2,27.7,3.3,2798.5,0
Bhubaneswar,1594.4,1399.2,8.79,68.4,34.9,5.6,3948.3,0
Chennai,1376.7,696.2,8.74,67.8,35.9,0.6,1949.7,0
Bhubaneswar,1943.9,1209.9,5.77,71.5,25.3,3.2,3299.3,0
Bhubaneswar,2056.9,1739.7,5.64,70.8,24.8,6.4,5038.6,1
Kochi,2010.0,1000.9,7.07,70.6,27.8,4.0,2615.0,1
Patna,1594.5,1064.5,6.81,66.7,30.7,4.8,3586.4,1
Lucknow,1083.9,899.8,5.64,68.3,26.9,2.1,2269.2,0
Kochi,2232.8,1564.4,6.38,63.0,30.8,6.4,4620.2,1
Chennai,1808.1,984.8,5.75,74.4,36.8,5.5,2611.7,1
Guwahati,2377.4,1856.7,2.52,73.1,23.4,6.8,5177.6,1
Surat,2313.5,1750.4,5.16,54.4,27.2,6.1,4646.4,1
Chennai,875.9,536.9,7.45,69.8,23.5,1.5,1981.9,0
Bhubaneswar,867.8,408.6,7.63,58.7,25.7,0.2,1948.5,0
Chennai,1308.9,593.6,4.74,58.0,27.8,0.3,1573.1,0
Kochi,1113.4,914.6,6.49,59.7,26.1,2.7,2762.4,0
Kolkata,2290.9,1362.4,6.22,70.0,31.1,5.8,4074.2,1
Chennai,2028.4,1038.5,6.45,59.1,29.6,2.0,2787.8,1
Varanasi,2514.5,1718.3,6.04,67.1,30.2,6.1,4908.6,1
Lucknow,2057.7,1778.6,7.0,67.8,27.8,6.1,4860.9,1
Chennai,1935.6,878.4,8.08,61.2,28.1,6.7,2957.8,0
Varanasi,2579.8,1226.1,7.85,63.0,27.6,5.9,4217.8,1
Guwahati,2105.3,1342.5,7.68,72.3,28.0,6.3,4194.5,1
Kolkata,1844.3,1390.9,5.23,69.2,30.7,6.9,3792.2,1
Varanasi,2762.3,1834.8,5.83,74.0,21.3,5.6,4428.5,1
Chennai,1874.9,1600.9,6.97,73.2,30.2,8.6,4620.4,1
Lucknow,1602.2,752.8,7.32,61.3,25.5,3.0,2699.5,0
Chennai,1255.4,757.1,6.92,55.7,27.6,2.7,1595.9,0
Patna,2257.0,1372.5,6.98,78.3,22.8,2.5,3255.5,1
Lucknow,2604.1,1570.4,4.31,74.8,27.6,4.9,3982.2,1
Patna,1767.1,1183.0,5.62,75.4,30.1,0.8,2444.9,0
Kochi,2650.1,2135.4,3.93,80.5,30.8,7.2,5103.9,1
Chennai,519.5,308.1,9.3,55.0,24.3,0.0,1409.5,0
Varanasi,1764.0,1384.7,6.61,53.5,30.6,4.2,3603.4,0
Kochi,1773.9,915.2,8.56,55.9,33.6,0.5,2348.5,0
Surat,1327.5,932.3,6.37,67.3,27.0,4.8,2500.9,0
Kurnool,3349.5,2072.6,3.73,73.2,29.0,8.7,5488.7,1
Guwahati,1757.0,1217.0,7.32,63.5,20.7,7.8,3323.6,1
Kurnool,1535.0,765.2,6.89,47.0,25.4,6.1,3492.3,0
Kurnool,1816.9,1597.1,5.22,69.4,30.1,6.1,5104.1,1
Varanasi,498.2,427.3,6.49,52.4,32.8,3.6,1811.3,0
Varanasi,1306.1,1073.4,7.39,60.4,26.6,4.4,2812.7,0
Varanasi,2439.1,2077.5,6.49,78.9,39.7,6.7,5682.1,1
Kurnool,1391.2,717.9,6.74,55.3,30.3,2.0,2574.5,0
Kurnool,1261.2,853.4,8.69,57.1,23.9,4.4,3610.5,0
Patna,2651.2,1572.3,5.87,70.4,34.1,13.9,6151.3,1
Chennai,2671.2,2268.7,2.42,80.8,24.0,10.6,5339.4,1
Kochi,2136.0,1143.3,5.93,62.9,30.3,4.6,3877.7,1
Surat,1504.2,825.8,6.58,71.3,25.3,4.0,2672.5,0
Guwahati,1644.3,1248.1,6.33,58.6,23.6,5.5,3922.8,0
Lucknow,1277.3,625.9,8.54,51.9,32.8,2.1,2488.2,0
Kochi,1153.4,899.1,9.5,53.9,28.0,4.8,3285.3,0
Kurnool,1121.1,639.8,6.48,50.9,35.9,2.0,2592.6,0
Lucknow,1398.3,1045.1,6.6,66.5,24.9,1.8,2668.7,0
Kolkata,1127.4,950.3,6.36,57.7,22.8,4.4,2658.1,0
Kurnool,783.6,567.6,6.82,51.7,27.1,3.3,2690.9,0
Surat,1942.6,1060.1,7.2,66.9,40.6,3.5,2785.4,0
Varanasi,1952.5,921.8,7.41,68.3,32.3,4.0,3679.0,0
Lucknow,2905.5,1365.8,4.41,73.7,31.2,6.9,3777.2,1
Varanasi,1365.6,669.1,8.0,66.3,31.3,2.3,2130.5,0
Surat,1992.5,1416.5,4.97,62.3,27.1,4.2,3782.1,1
Kochi,2003.3,1215.4,6.76,67.7,39.9,3.0,2729.4,1
Lucknow,1635.0,914.6,8.83,66.3,30.8,2.8,2167.8,0
Guwahati,2283.8,1253.1,7.17,63.5,30.5,7.6,4333.6,1
Patna,2303.9,2020.2,5.12,74.3,32.9,6.9,4579.1,1
Bhubaneswar,2012.8,1013.4,6.62,56.7,23.9,4.4,4158.8,1
Bhubaneswar,1633.8,959.3,7.4,59.9,25.5,2.8,2828.4,0
Guwahati,1567.6,1038.0,7.77,66.6,28.0,2.9,2609.5,0
Chennai,911.0,410.1,9.08,67.8,33.0,0.0,1706.3,0
Kochi,1276.2,1103.1,6.89,71.9,23.8,4.2,2304.6,1
Chennai,1395.7,690.3,8.18,65.2,28.7,1.5,2085.2,0
Kolkata,1069.4,809.7,6.22,62.8,28.2,5.5,2833.0,0
Kurnool,2086.0,1529.0,5.23,68.4,22.7,5.3,3684.7,1
Kolkata,2577.8,2098.5,5.53,65.3,27.0,7.5,5226.4,1
Surat,1209.8,899.0,8.39,58.1,31.2,2.9,3376.2,0
Lucknow,1984.2,1579.9,6.03,64.5,23.1,6.5,4493.1,1
Surat,1127.8,721.3,9.49,65.0,34.6,5.6,2929.6,1
Kochi,1601.8,1073.1,7.63,70.4,30.9,1.8,2633.8,0
Lucknow,1351.3,1034.7,6.9,68.8,30.4,4.3,2649.7,0
Bhubaneswar,2191.2,1546.6,4.66,76.1,29.0,2.5,3783.3,1
Guwahati,1358.8,924.2,8.99,63.8,24.6,5.8,2176.0,0
Lucknow,2457.6,1333.2,7.33,61.2,26.4,4.6,3314.8,1
Lucknow,1640.3,928.6,9.38,63.1,30.4,0.4,2015.5,0
Kochi,1377.8,842.3,9.98,58.3,26.4,0.5,1560.6,0
Kolkata,985.4,447.5,7.07,63.0,29.8,3.2,2255.1,0
Bhubaneswar,1964.6,1253.0,5.25,64.2,25.4,1.2,3148.6,1
Kochi,2381.9,1074.8,3.92,64.1,30.8,4.5,3020.9,1
Kurnool,1977.7,1392.8,7.36,71.8,31.1,4.2,4078.1,1
Bhubaneswar,3255.2,2496.2,4.57,73.2,22.5,8.7,5673.9,1
Patna,2729.4,1918.7,5.26,78.2,29.3,5.6,4388.6,1
Lucknow,1600.1,1219.4,5.39,58.0,22.9,2.5,3743.4,0
Chennai,1593.3,717.0,7.78,63.3,21.6,1.6,3197.9,1
Surat,2105.3,1003.7,7.43,63.5,26.6,4.8,3454.0,0
Guwahati,1255.3,959.4,8.19,68.7,40.2,2.9,3062.5,0
Lucknow,2558.1,2075.4,5.1,65.6,32.1,8.4,5306.4,1
Guwahati,2035.0,1573.0,6.67,60.1,34.6,5.2,4033.7,1
Surat,1966.7,1471.8,6.03,72.8,31.4,6.6,4326.7,1
Varanasi,2246.5,1726.1,6.89,68.3,29.8,7.1,5306.1,1
Kolkata,2919.8,2285.7,5.02,75.2,32.6,7.2,5948.9,1
Kolkata,1911.1,1483.0,4.84,64.5,26.4,3.5,4268.4,1
Kolkata,1726.5,1350.3,7.97,72.7,30.9,6.8,3680.5,1
Chennai,2780.7,1343.9,7.8,69.0,33.7,3.2,3854.9,1
Patna,2428.9,1162.2,7.38,67.0,31.8,5.2,3248.8,1
Varanasi,1591.4,974.7,7.6,56.8,34.0,3.6,3041.8,0
Varanasi,1803.4,1239.7,8.52,69.2,29.7,3.6,3705.6,0
Kolkata,1927.0,1528.5,4.24,62.9,35.8,6.4,4106.3,1
Bhubaneswar,2035.2,1222.4,8.1,62.1,28.2,7.2,3453.2,0
Guwahati,918.2,526.9,7.78,51.6,37.5,3.2,2272.6,0
Chennai,797.4,639.2,9.26,59.9,31.3,2.6,2205.7,0
Surat,1223.2,687.7,8.08,67.6,27.5,5.7,2780.4,0
Varanasi,1172.9,961.1,5.96,65.1,24.3,0.1,2808.8,0
Kochi,1381.5,731.8,7.3,59.0,25.8,0.4,2691.4,0
Kochi,2212.6,1353.6,7.56,67.9,25.2,4.0,3978.8,0
Kurnool,1690.2,1065.6,6.86,65.3,28.6,6.7,3734.9,0
Varanasi,1927.7,1127.3,6.26,65.6,23.9,6.0,3345.3,1
Lucknow,1004.2,453.4,7.78,60.2,34.2,0.0,1477.4,0
Kurnool,1499.9,833.9,8.32,56.3,29.4,2.1,2740.7,0
Surat,2181.7,1313.3,8.45,67.5,29.3,2.1,3271.9,0
Surat,2186.7,1292.6,4.22,56.2,24.3,4.6,3859.2,1
Surat,1329.0,1067.9,10.0,68.1,25.9,5.7,3076.7,0
Kolkata,1905.1,897.9,7.69,56.5,20.1,5.2,3812.5,1
Guwahati,3229.3,2018.4,5.57,80.3,35.5,7.8,5452.4,1
Kochi,1788.6,835.0,7.13,47.9,23.3,2.2,2615.4,0
Guwahati,1349.4,1172.4,6.84,75.7,23.6,4.1,3204.1,1
Patna,1687.1,1359.1,6.63,57.5,34.7,6.3,4766.5,0
Kolkata,1859.9,1659.0,4.59,62.8,30.6,10.7,4569.5,1
Kolkata,1701.7,1462.8,5.3,70.0,29.5,2.9,3503.3,1
Kurnool,1779.6,1053.7,8.42,68.3,30.4,7.0,3877.6,0
Bhubaneswar,861.8,656.0,6.31,59.2,32.8,2.9,2420.4,0
Patna,1174.3,690.4,8.42,66.6,29.4,4.1,2309.1,0
Guwahati,1702.9,1447.0,5.82,63.3,22.8,5.6,3858.9,1
Patna,1692.6,1074.5,6.01,62.3,31.9,6.7,3422.0,0
Guwahati,1432.0,886.6,9.66,61.2,30.7,3.9,2901.4,0
Surat,1684.9,1451.3,5.16,64.9,33.7,4.0,4509.1,1
Kolkata,1839.7,1520.5,4.81,57.2,24.0,6.4,4548.2,1
Chennai,2378.1,2104.4,4.53,73.9,26.1,9.9,6182.6,1
Lucknow,1735.5,832.9,6.77,61.9,30.6,3.0,2487.7,0
Surat,2059.4,1152.2,6.9,71.9,25.2,0.0,3083.5,0
Kurnool,1448.0,847.6,7.75,55.0,19.6,2.8,2044.7,0
Kurnool,2171.9,1392.1,6.61,63.8,29.8,5.2,4007.4,1
Patna,2044.2,1355.1,6.29,74.5,32.6,4.8,3864.8,1
Patna,2362.8,1373.2,5.62,69.2,28.5,4.0,4478.4,1
Varanasi,2263.7,1823.9,6.08,74.8,31.2,9.3,5816.6,1
Varanasi,2182.7,1201.5,6.66,68.6,30.6,0.0,2859.3,0
Varanasi,1736.0,1325.3,5.95,69.8,29.0,5.0,3457.6,0
Bhubaneswar,1959.2,1632.6,7.43,80.7,29.5,6.1,4158.6,1
Chennai,2491.3,1797.9,5.3,71.8,34.4,10.7,5202.8,1
Bhubaneswar,1376.2,838.6,8.8,56.5,25.1,3.0,3191.3,0
Surat,1391.5,743.8,9.17,65.6,32.1,3.6,2735.3,0
Bhubaneswar,1917.9,979.0,8.7,60.5,24.3,3.8,3225.1,0
Lucknow,2069.9,1624.6,6.58,69.1,25.8,6.1,4777.9,1
Lucknow,1264.3,835.9,7.61,64.8,33.8,6.6,2693.4,1
Bhubaneswar,1751.4,824.6,7.56,57.5,24.2,0.8,2092.5,0
Kurnool,1738.9,1552.4,5.72,66.0,28.0,4.3,4317.2,1
Lucknow,360.1,270.8,6.5,60.3,38.4,2.5,1274.6,0
Kochi,1657.3,1375.3,7.18,64.2,33.1,5.5,3324.7,1
Lucknow,1697.7,1098.8,7.28,70.8,26.1,3.4,2754.5,0
Chennai,1695.8,1492.2,7.03,62.6,26.7,5.3,4539.6,0
Varanasi,2720.3,1468.4,6.05,62.4,28.3,7.1,4151.3,1
Kochi,1009.7,538.5,9.01,71.3,34.2,2.9,2210.2,0
Kolkata,1264.0,1075.2,5.55,55.6,25.0,2.5,2618.8,0
Varanasi,300.0,255.4,7.64,57.2,24.8,1.4,1579.6,0
Kochi,1487.4,1003.3,4.5,75.2,31.9,3.5,2922.5,1
Surat,1542.8,781.6,7.58,61.9,22.3,3.8,2838.1,0
Chennai,1468.5,862.5,6.7,70.9,25.4,2.5,2459.4,0
Lucknow,2520.0,1989.2,4.0,76.9,28.7,4.8,5157.2,1
Bhubaneswar,2359.4,1959.9,5.43,72.7,28.9,8.4,5130.6,1
Varanasi,1850.6,1122.3,6.49,64.4,23.5,5.2,3407.6,0
Kochi,1559.1,744.6,6.24,49.0,30.4,5.5,2694.9,0
Chennai,2467.0,1849.2,8.11,69.8,31.2,4.1,4627.2,1
Surat,1787.2,1398.9,6.29,69.1,26.4,4.9,4021.1,1
Kolkata,1268.1,812.6,6.47,63.8,35.6,2.5,2362.8,0
Kochi,684.4,487.6,7.66,74.2,30.4,1.0,1746.7,0
Chennai,1513.1,1353.2,6.25,68.9,25.0,1.8,3528.9,0
Guwahati,2290.5,1283.3,6.4,70.4,35.5,2.5,3615.0,1
Varanasi,3279.8,2321.5,5.68,83.0,26.9,9.0,6022.6,1
Kochi,1840.0,1333.9,6.39,70.3,29.7,3.8,3306.2,1
Kochi,1302.5,908.0,9.48,62.7,27.1,1.6,2665.4,0
Chennai,1029.8,866.2,7.06,62.4,31.5,6.0,3347.1,0
Surat,2158.8,1559.2,6.44,67.0,27.1,10.4,4320.9,1
Varanasi,653.0,443.1,9.62,61.7,27.3,1.5,1248.1,0
Chennai,2157.7,1090.4,8.35,63.9,28.4,0.9,2611.5,0
Chennai,2331.5,1787.0,6.9,74.9,27.0,7.3,4811.7,1
Guwahati,2083.6,1061.5,6.8,58.6,33.3,0.0,1831.9,0
Kurnool,1657.2,765.6,7.76,62.8,24.0,0.1,2416.5,0
Kochi,2167.2,1451.7,3.49,77.5,28.9,6.1,4070.5,1
Kolkata,1911.1,1352.3,6.22,65.9,29.4,2.1,2549.6,0
Kolkata,1294.2,1164.2,8.06,76.6,28.5,3.6,2885.5,0
Bhubaneswar,3002.8,2313.8,5.25,76.9,32.9,5.4,5494.5,1
Bhubaneswar,1571.4,1307.2,6.44,66.5,23.0,4.8,3025.8,0
Kochi,2304.2,1396.1,8.21,68.3,31.3,7.3,4577.7,1
Guwahati,300.0,203.7,8.62,55.0,24.0,0.0,1241.4,0
Kurnool,2629.7,2336.3,3.42,64.3,27.0,8.4,6287.7,1
Kochi,2754.7,1757.0,5.01,76.2,23.6,4.7,4119.1,1
Kochi,1819.4,1479.7,4.91,81.6,27.7,3.9,4092.3,0
Guwahati,2163.2,1485.5,6.82,71.3,26.7,3.7,3655.9,1
Patna,2163.0,1191.4,7.12,69.0,35.6,5.9,3574.1,1
Kurnool,1382.2,983.0,7.94,62.8,30.0,0.7,2798.7,0
Bhubaneswar,2155.6,1181.6,6.37,72.6,30.8,3.6,3332.9,1
Kolkata,1274.4,575.2,8.13,60.0,24.6,2.9,2507.2,0
Bhubaneswar,1404.3,781.0,5.34,63.7,32.0,4.6,2819.4,0
Surat,2532.5,1359.7,6.83,57.9,35.6,5.8,3759.2,0
Surat,2433.5,1501.3,6.21,65.4,32.5,5.3,4474.8,1
Kochi,1340.9,1139.6,5.71,67.5,23.8,3.0,3631.6,1
Guwahati,1323.2,826.4,7.51,67.9,27.1,4.8,2903.9,0
Chennai,1380.4,1146.2,6.62,71.0,29.4,2.4,3687.7,0
Chennai,2276.2,1593.4,7.83,60.0,26.7,4.1,4062.2,0
Kurnool,1150.0,521.4,7.15,50.9,39.1,4.6,2238.7,0
Surat,2031.9,1086.9,7.4,68.4,27.1,4.7,3317.2,0
Patna,2285.5,1986.2,3.8,68.5,28.8,8.0,5281.8,1
Guwahati,1742.6,1258.0,6.04,71.8,26.6,5.8,3630.7,0
Lucknow,2456.5,2133.0,4.97,64.5,29.9,7.5,5258.1,1
Chennai,1602.2,944.6,7.13,63.0,34.5,0.5,2168.2,0
Bhubaneswar,1661.0,1283.0,6.59,66.4,29.5,5.2,3771.9,1
Lucknow,1164.8,928.8,7.76,66.3,28.1,3.3,3350.7,0
Kolkata,2461.2,2188.1,4.0,68.6,24.7,6.2,5809.5,1
Varanasi,1301.8,596.4,9.12,48.6,33.8,0.0,2028.8,0
Bhubaneswar,2027.4,1781.0,5.13,72.2,28.4,6.4,5268.8,1
Varanasi,1753.6,1098.2,6.91,68.1,28.3,1.3,2936.0,0
Surat,1115.7,922.8,7.81,69.4,19.6,3.1,2432.3,0
Kolkata,1404.1,976.0,7.54,61.7,28.5,3.0,2778.0,0
Lucknow,2698.9,1900.3,5.91,76.9,27.4,6.6,4993.8,1
Bhubaneswar,1931.1,1181.3,7.17,68.6,21.7,5.1,3331.6,0
Kolkata,1144.1,941.3,7.88,71.5,33.0,4.7,3297.0,0
Chennai,1998.5,1136.7,6.57,65.0,26.9,2.7,3543.8,0
Lucknow,1705.0,1144.9,5.73,55.0,36.6,5.9,2874.6,0
Patna,4045.1,2840.0,1.5,80.3,34.7,9.9,7036.0,1
Kolkata,1985.3,1556.8,4.14,69.6,26.1,9.1,3538.6,1
Bhubaneswar,1552.6,1028.2,9.11,67.4,34.5,2.6,2920.6,0
Lucknow,2723.0,2058.9,2.4,64.5,35.4,4.2,4973.5,1
Surat,603.3,403.3,9.9,56.8,26.8,3.1,2611.7,0
Varanasi,1861.3,1389.8,5.45,72.8,24.9,5.9,4598.6,1
Kurnool,3096.4,2332.7,5.52,75.5,20.4,10.9,6674.4,1
Guwahati,1724.5,1326.5,4.07,65.2,30.5,5.4,3455.0,1
Chennai,673.4,552.5,7.99,71.4,25.1,6.7,2189.3,0
Lucknow,1542.7,1069.6,8.68,58.3,30.6,3.5,2706.5,0
Varanasi,2745.4,1474.2,6.95,75.8,26.7,7.4,4956.4,1
Surat,2044.4,1545.3,5.63,75.1,25.9,4.5,3763.1,0
Bhubaneswar,1254.7,608.2,5.99,59.2,26.8,3.2,2122.9,0
Chennai,1354.6,743.0,6.36,61.5,23.8,4.0,2263.3,0
Kolkata,1436.2,1158.2,8.41,65.3,26.8,5.9,3085.0,0
Bhubaneswar,2034.8,1314.0,6.14,68.0,26.1,6.3,4055.9,1
Surat,2669.8,1799.8,5.35,67.7,28.9,0.0,4106.7,1
Kolkata,2484.1,2221.6,4.78,72.6,29.4,7.9,4858.5,1
Guwahati,2096.4,1165.2,5.43,63.4,24.7,3.1,2745.3,1
Kolkata,934.4,428.7,8.98,56.9,33.4,0.8,1769.5,0
Guwahati,936.8,468.5,7.98,57.4,28.4,1.1,1750.2,0
Patna,2146.6,1202.2,7.1,52.4,35.0,6.3,3560.8,1
Varanasi,925.4,718.8,7.24,62.1,30.0,3.0,2697.2,0
Lucknow,1653.4,1321.3,4.78,63.8,29.3,3.8,3053.7,0
Kolkata,1997.7,1407.3,5.84,56.5,27.0,2.2,3354.7,0
Lucknow,1060.6,599.0,8.85,58.3,31.5,5.2,2713.7,0
Bhubaneswar,1134.2,776.7,8.17,59.7,29.1,1.5,2120.7,0
Kochi,1738.8,794.2,7.74,69.8,32.4,2.6,2668.5,0
Kurnool,2127.4,1610.0,6.84,66.3,35.4,10.1,4452.9,1
Guwahati,2490.0,1808.8,5.18,75.4,26.1,5.3,4363.9,1
Patna,2194.6,1009.1,7.28,72.4,31.5,3.1,2276.1,0
Kurnool,1847.9,1510.9,5.55,64.9,31.3,5.9,3409.5,1
Chennai,1315.0,1043.5,8.19,64.2,30.8,0.6,2556.2,0
Lucknow,1103.9,649.9,8.35,71.3,27.3,0.0,2149.8,0
Kolkata,1467.9,1080.3,6.44,66.2,27.3,3.0,3052.7,0
Surat,2066.5,1489.2,4.49,70.7,26.7,4.5,4485.0,1
Varanasi,2018.8,1038.5,8.36,62.0,26.6,4.0,2996.0,0
Kolkata,435.1,233.6,8.15,61.2,25.6,0.0,372.5,0
Varanasi,1289.3,976.6,7.37,63.6,28.6,4.4,3224.3,0
Surat,2582.9,2247.4,7.0,64.4,26.0,3.8,4873.4,1
Kochi,1851.5,1313.3,7.41,64.8,30.7,4.6,3768.5,0
Kolkata,878.9,620.1,9.87,53.5,29.2,3.0,1358.1,0
Patna,3331.3,2468.5,3.32,78.0,29.7,9.6,6285.4,1
Surat,1781.2,1154.7,8.06,60.0,27.9,3.9,3622.5,0
Kurnool,2049.8,972.4,7.33,66.7,29.3,2.2,3046.8,0
Lucknow,2059.7,1294.4,6.97,67.0,28.0,4.3,3546.3,1
Bhubaneswar,1561.1,1334.9,8.7,59.6,32.1,7.3,4058.8,0
Kurnool,1327.1,1077.9,6.75,61.8,27.2,2.7,2866.1,0
Patna,3179.1,2757.4,3.28,83.7,30.5,11.9,7077.5,1
Chennai,2452.1,1272.1,5.63,73.4,23.8,6.9,4166.5,1
Chennai,2334.3,1581.9,6.9,63.9,31.8,2.3,3618.6,1
Varanasi,2174.6,1550.8,5.37,62.5,26.8,5.4,3974.1,1
Patna,1147.8,625.0,9.21,72.4,25.4,0.3,1330.2,0
Kolkata,2630.4,1421.6,4.47,67.8,24.4,2.1,3875.1,1
Surat,1252.0,1004.0,7.83,64.6,24.1,5.2,3105.8,0
Varanasi,1984.1,1492.7,5.41,64.1,27.1,6.4,3744.4,1
Patna,734.4,544.4,9.07,61.2,35.0,2.5,2408.7,0
Kurnool,473.4,269.9,8.87,67.7,26.4,0.0,1245.5,0
Kurnool,2006.9,1360.8,5.83,68.9,20.2,5.4,3572.8,1
Kochi,1274.1,586.6,7.75,66.7,30.5,0.0,2191.1,0
Kolkata,507.0,257.8,7.98,57.5,24.5,1.1,1236.3,0
Kurnool,2151.4,1469.9,7.09,62.2,32.3,4.0,3276.5,0
Kochi,3178.1,1873.0,4.11,67.9,27.3,8.9,5599.5,1
Guwahati,2703.2,2391.1,3.79,70.0,27.9,7.9,5698.7,1
Kolkata,1632.7,1081.2,7.43,66.1,33.8,4.4,4457.9,0
Bhubaneswar,1805.7,880.5,9.28,70.3,31.5,3.7,2623.6,0
Lucknow,2377.0,1088.7,7.02,65.8,24.0,3.8,2386.9,0
Lucknow,2529.4,1963.7,4.79,70.9,24.6,7.3,5893.8,1
Bhubaneswar,1576.7,831.2,7.92,57.8,21.9,3.6,2686.2,0
Lucknow,1822.2,974.0,5.01,66.0,39.4,1.7,2842.2,1
Kurnool,1995.4,1278.5,5.29,59.2,25.5,5.4,3884.8,1
Varanasi,2160.0,1228.7,6.3,59.3,33.7,6.2,3187.1,1
Lucknow,1713.5,1246.5,5.89,71.7,26.9,5.3,2792.6,1
Lucknow,1721.9,1151.2,5.13,63.8,24.7,3.5,4047.5,1
Kochi,2696.9,1348.9,7.39,65.4,29.1,5.2,3209.2,1
Varanasi,2586.2,2077.1,5.08,72.8,27.7,6.8,5987.9,1
Kochi,2110.3,1354.1,6.59,71.6,32.2,4.7,3986.4,0
Kurnool,2917.4,2114.8,3.95,75.1,32.3,5.3,5289.4,1
Kolkata,1548.8,699.7,8.0,56.9,26.6,5.3,2485.9,0
Patna,2854.9,2089.5,5.33,69.7,23.2,11.4,6835.9,1
Guwahati,2152.6,1242.7,6.39,65.1,24.2,3.1,3109.4,0
Bhubaneswar,3926.2,2640.2,4.01,80.7,19.9,11.1,6601.4,1
Patna,1024.9,598.5,7.27,60.2,27.9,5.1,2735.0,0
Varanasi,1351.9,1214.5,6.86,65.3,29.0,2.5,2993.4,0
Surat,2072.2,1147.8,8.16,65.7,24.4,0.0,2439.8,0
Kurnool,2058.2,1771.7,6.84,70.8,23.9,9.5,5078.8,1
Kolkata,3067.6,2647.6,4.96,74.3,28.9,9.6,6968.1,1
Chennai,1365.6,873.2,7.84,69.6,26.5,2.1,3357.3,0
Patna,2388.2,1401.4,6.36,64.8,28.1,5.2,4755.4,1
Bhubaneswar,2555.6,1588.2,5.41,70.2,27.5,5.0,3523.3,1
Chennai,2258.0,2021.4,2.93,60.9,30.0,13.2,6423.5,1
Kurnool,1175.4,856.2,6.08,61.5,26.7,2.0,2171.4,0
Lucknow,2715.0,1887.4,5.04,65.5,27.0,7.5,4701.7,1
Surat,2599.1,1211.6,6.64,60.1,21.5,7.0,3581.0,1
Bhubaneswar,2189.7,1820.8,6.93,86.0,28.8,9.2,4915.9,1
Varanasi,1932.8,942.7,8.81,65.0,29.4,5.6,2720.8,0
Bhubaneswar,1947.0,917.3,6.67,70.7,28.3,2.5,1796.7,0
